Dataset,Working group,Number of datasets,Sample size,Year,Age range (in years),Relevant publications,Main findings
ENIGMA,22Q11DS,14,863,2018,6–56,Villalón-Reina et al.17; Sun et al.10,"Widespread reductions in diffusivity, pronounced in regions with major cortico-cortical and cortico-thalamic fibers; thicker cortical gray matter overall, but focal thickness reduction in temporal and cingulate cortex; cortical surface area showed pervasive reductions; lower cortical surface area in individuals with larger microdeletion; 22q-related psychosis associated with lower cortical thickness and significantly overlapped with findings from ENIGMA-SCZ group."
ENIGMA,Addiction/SUDs,118,18823,2016,7–68,"Mackey et al.5,84; Conrod et al.86","Common neural substrate shared in dependence; differential patterns of regional volume as biomarkers of dependence on alcohol and nicotine; lower volume or thickness observed, with greatest effects associated with alcohol use disorder; insula and medial orbitofrontal cortex affected, regardless of dependence."
ENIGMA,ADHD,37,4180,2017,4–63,"Hoogman et al.7,91; Klein et al.47; Zhang-James94; Hess et al.92","Reduction in bilateral amygdala, striatal, and hippocampal volumes in the ADHD population, especially in children; lower cortical surface area values found in children with ADHD, but not in adolescents or adults; lower surface area associated with ADHD symptoms in the general population in childhood; genetic association studies suggest that genes involved in neurite outgrowth play a role in findings of reduced volume in ADHD; gene-expression studies imply that structural brain alterations in ADHD can also be explained in part by the differential vulnerability of these regions to mechanisms mediating apoptosis, oxidative stress, and autophagy."
ENIGMA,ASD,54,3583,2018,2–64,Postema et al.97; van Rooij et al.8,"Altered morphometry in the cognitive and affective parts of the striatum, frontal cortex and temporal cortex in ASD."
ENIGMA,BD,44,11100,2016,8–86,"Favre et al.69; Nunes et al.23; Hibar et al.2,68","Volumetric reductions in hippocampus and thalamus and enlarged lateral ventricles in patients; thinner cortical gray matter in bilateral frontal, temporal and parietal regions; strongest effects on left pars opercularis, fusiform gyrus and rostral middle frontal cortex in BD."
ENIGMA,Eating Disorders,40,2531,2018,10–50 AN; 12–46 BN,Walton et al.48,Signs of inverse concordance between greater thalamus volume and risk for anorexia nervosa (AN); variation in gene DRD2 significantly associated with AN only after conditioning on its association with caudate volume; genetic variant linked to LRRC4C reached significance after conditioning on hippocampal volume.
ENIGMA,Epilepsy,24,3876,2018,18–55,Whelan et al.9,"Patients with IGE showed volume reductions in the right thalamus and lower thickness in the bilateral precentral gyri; both MTLE subgroups showed volume reductions in the ipsilateral hippocampus, and lower thickness in extrahippocampal cortical regions, including the precentral and paracentral gyri; lower subcortical volume and cortical thickness were associated with a longer duration of epilepsy in the all-epilepsies and right MTLE groups."
ENIGMA,HIV,12,1044,2016,22–81,"Nir et al.124,169,170; Fouche et al.171","In the full group, subcortical volume associations implicated the limbic system: lower current CD4+ counts were associated with smaller hippocampal and thalamic volumes; a detectable viral load was associated with smaller hippocampal and amygdala volumes; limbic effects were largely driven by participants on cART; in subset of participants not on cART, smaller putamen volumes were associated with lower CD4+ count."
ENIGMA,MDD,38,14249,2017,10–89,"van Velzen et al.67; Tozzi et al.75; Han et al.72; Frodl et al.74; Renteria et al.172; Schmaal et al.3,70; Ho et al.137; Saemann et al.83","Significantly lower hippocampal volumes; thinner orbitofrontal cortex, anterior and posterior cingulate, insula and temporal lobes cortex in adult MDD patients; lower total surface area and regional reductions in frontal regions and primary and higher-order visual, somatosensory and motor areas in adoloescent MDD patients; greater exposure to childhood adversity associated with smaller caudate volumes in females, independent of MDD; patients reporting suicidal plans or attempts showed a smaller ICV volume compared to controls."
ENIGMA,OCD,38,3665,2017,5–65,"Boedhoe et al.6,88,167; Hibar et al.45","Subcortical abnormalities in pediatric and adult patients; pallidum (bigger) and hippocampus (smaller) key in adults, and thalamus (bigger) key in (unmedicated) pediatric group; parietal cortex consistently implicated both in children and adults; more widespread cortical thickness abnormalities in medicated adults, and more pronounced surface area deficits (mainly in frontal regions) in medicated pediatric OCD patients."
ENIGMA,PTSD,16,3118,2018,17–85,Dennis et al.76; Salminen et al.80; Logue et al.4; O’Leary et al.78,"Significantly smaller hippocampi, on average, in individuals with current PTSD compared with trauma-exposed control subjects, and smaller amygdalae."
ENIGMA,Schizophrenia,39,9572,2018,18–77,"Holleran et al.57; van Erp et al.1,54,55; Kelly et al.56; Walton et al.62,63; Kochunov et al.66","Positive symptom severity was negatively related to bilateral STG thickness; widespread thinner cortex and smaller surface area, largest effect sizes in frontal and temporal lobe regions; smaller hippocampus, amygdala, thalamus, accumbens and intracranial volumes; larger pallidum and lateral ventricle volumes; widespread reductions in FA, esp. in anterior corona radiata and corpus callosum; higher mean and radial diffusivity; left MOFC thickness significantly associated with negative symptom severity; link between prefrontal thinning and negative symptom severity in schizophrenia."
ENIGMA,CNV,37,16889,2019,3–90,van der Meer et al.100; Sonderby53,"16p11.2 distal CNV: Negative dose-response associations with copy number on intracranial volume and regional caudate, pallidum and putamen volumes. 15q11.2 CNV: Decrease in accumbens and cortical surface area in deletion carriers and negative dose response on cortical thickness."
ENIGMA,EEG,5,8425,2018,5–73,Smit et al.40,"Identified several novel genetic variants associated with oscillatory brain activity; replicated and advanced understanding of previously known genes associated with psychopathology (i.e., schizophrenia and alcohol use disorders); these psychopathological liability genes affect brain functioning, linking the genes’ expression to specific cortical/subcortical brain regions."
ENIGMA,GWAS,34,22456,2016,3–91,"Satizabal et al.14; Grasby et al.13; Hibar et al.25,173; Adams et al.169",Over 200 genetic loci where common variation is associated with cortical thickness or surface area; over 40 common genetic variants associated with subcortical volumes.
ENIGMA,Laterality,99,17141,2018,3–90,"de Kovel et al.71; Kong et al.90,154; Postema et al.97; Guadalupe et al.174","Average patterns of left-right anatomical asymmetry of the healthy brain were mapped, as regards cortical regional surface areas, thicknesses, and subcortical volumes; fronto-occipital gradient in cortical thickness asymmetry was found, with frontal regions generally thicker on the left, and occipital regions on the right; asymmetries of various structural measures were significantly heritable, indicating genetic effects that differ between the two sides; age, sex and intracranial volume affected some asymmetries, but handedness did not; disorder case–control analyses revealed subtle reductions of regional cortical thickness asymmetries in ASD, as well as altered orbitofrontal surface area asymmetry; little evidence for altered anatomical asymmetry was found in MDD; pediatric patients with OCD showed evidence for altered asymmetry of the thalamus and pallidum."
ENIGMA,Lifespan,91,14904,2020,2–92,Dima et al.175; Frangou et al.176,"Thickness in almost all cortical regions decreased prominently in the first two to three decades of life, with an attenuated or plateaued slope afterwards; exceptions to this pattern were entorhinal and temporopolar cortices whose thickness showed an attenuated inverse U-shaped relation with age, and anterior cingulate cortex, which showed a U-shaped association with age; age at peak cortical thickness was 6–7 years for most brain regions."
ENIGMA,Plasticity,36,10199,2017,6–97,"Brouwer et al.38,39","Heritability estimates of change rates were generally higher in adults than in children suggesting an increasing influence of genetic factors explaining individual differences in brain structural changes with age; for some structures, the genetic factors influencing change were different from those influencing the volume itself, suggesting the existence of genetic variants specific for brain plasticity."
