,model,input_size,init_features,n_channels,epoch,compute_time
0,unet,256,64,1,0,0.011215905348459879
1,unet,256,64,1,1,0.010505950450897217
2,unet,256,64,1,2,0.010673912366231282
3,unet,256,64,1,3,0.010455012321472168
4,unet,256,64,1,4,0.010528254508972167
5,unet,256,64,1,5,0.010391000906626384
6,unet,256,64,1,6,0.010647308826446534
7,unet,256,64,1,7,0.010880438486735027
8,unet,256,64,1,8,0.014251005649566651
9,unet,256,64,1,9,0.0120000958442688
10,unet,256,64,1,10,0.010523390769958497
11,unet,256,64,1,11,0.010326393445332845
12,unet,256,64,1,12,0.010190244515736897
13,unet,256,64,1,13,0.010646231969197591
14,unet,256,64,1,14,0.010508577028910318
15,unet,256,64,1,15,0.009990906715393067
16,unet,256,64,1,16,0.010287221272786458
17,unet,256,64,1,17,0.010550673802693684
18,unet,256,64,1,18,0.010071218013763428
19,unet,256,64,1,19,0.010041272640228272
20,unet,256,64,1,20,0.010081104437510173
21,unet,256,64,1,21,0.009983476003011067
22,unet,256,64,1,22,0.010913709799448649
23,unet,256,64,1,23,0.010136282444000244
24,unet,256,64,1,24,0.010169466336568197
25,unet,256,64,1,25,0.010626486937204997
26,unet,256,64,1,26,0.01002203623453776
27,unet,256,64,1,27,0.010708308219909668
28,unet,256,64,1,28,0.010095850626627604
29,unet,256,64,1,29,0.010487977663675945
30,unet,256,64,1,30,0.010209937890370687
31,unet,256,64,1,31,0.010059428215026856
32,unet,256,64,1,32,0.01063163677851359
33,unet,256,64,1,33,0.01042642593383789
34,unet,256,64,1,34,0.012271376450856526
35,unet,256,64,1,35,0.013571616013844807
36,unet,256,64,1,36,0.012932904561360677
37,unet,256,64,1,37,0.013420180479685465
38,unet,256,64,1,38,0.013314545154571533
39,unet,256,64,1,39,0.012863250573476155
40,unet,256,64,1,40,0.013192383448282878
41,unet,256,64,1,41,0.01208114226659139
42,unet,256,64,1,42,0.01285403569539388
43,unet,256,64,1,43,0.013063188393910725
44,unet,256,64,1,44,0.013019760449727377
45,unet,256,64,1,45,0.012215725580851237
46,unet,256,64,1,46,0.013233609994252523
47,unet,256,64,1,47,0.012079826990763346
48,unet,256,64,1,48,0.012366890907287598
49,unet,256,64,1,49,0.012556620438893636
50,unet,256,64,1,50,0.0132127046585083
51,unet,256,64,1,51,0.01234742800394694
52,unet,256,64,1,52,0.01305700937906901
53,unet,256,64,1,53,0.012789519627888997
54,unet,256,64,1,54,0.012464328606923421
55,unet,256,64,1,55,0.013252790768941243
56,unet,256,64,1,56,0.013005340099334716
57,unet,256,64,1,57,0.012145872910817463
58,unet,256,64,1,58,0.012159792582194011
59,unet,256,64,1,59,0.012608079115549724
60,unet,256,64,1,60,0.01241690715154012
61,unet,256,64,1,61,0.012778699398040771
62,unet,256,64,1,62,0.013150401910146077
63,unet,256,64,1,63,0.011898569266001384
64,unet,256,64,1,64,0.012118605772654216
65,unet,256,64,1,65,0.013126043478647868
66,unet,256,64,1,66,0.012755858898162841
67,unet,256,64,1,67,0.012936937808990478
68,unet,256,64,1,68,0.011902236938476562
69,unet,256,64,1,69,0.012547640005747478
70,unet,256,64,1,70,0.011972395579020183
71,unet,256,64,1,71,0.012350022792816162
72,unet,256,64,1,72,0.012166460355122885
73,unet,256,64,1,73,0.012181691328684489
74,unet,256,64,1,74,0.012135740121205647
75,unet,256,64,1,75,0.013448158899943033
76,unet,256,64,1,76,0.01218087673187256
77,unet,256,64,1,77,0.012020556131998698
78,unet,256,64,1,78,0.012049535910288492
79,unet,256,64,1,79,0.01215888261795044
80,unet,256,64,1,80,0.012329395612080891
81,unet,256,64,1,81,0.012330639362335204
82,unet,256,64,1,82,0.011941154797871908
83,unet,256,64,1,83,0.013297335306803385
84,unet,256,64,1,84,0.011921465396881104
85,unet,256,64,1,85,0.012432471911112467
86,unet,256,64,1,86,0.012890493869781494
87,unet,256,64,1,87,0.013564213116963705
88,unet,256,64,1,88,0.013533536593119304
89,unet,256,64,1,89,0.012475160757700603
90,unet,256,64,1,90,0.012214767932891845
91,unet,256,64,1,91,0.012960322697957357
92,unet,256,64,1,92,0.013700612386067708
93,unet,256,64,1,93,0.016776522000630695
94,unet,256,64,1,94,0.014459502696990967
95,unet,256,64,1,95,0.012930516401926677
96,unet,256,64,1,96,0.012313755353291829
97,unet,256,64,1,97,0.012411753336588541
98,unet,256,64,1,98,0.012865050633748373
99,unet,256,64,1,99,0.012258787949879965
